id,name,tedad_kh_100,tedad_fo_100,tedad_kh_200,tedad_fo_200,tedad_kh_500,tedad_fo_500,akharin_gh,darsad_akarin,darsad_payani,vaziat,signal_tedad,signal_big_m,rsi,buy_power,vorod_pol,hajm_mashkok,hajm_emroz,hajm_diroz,hajm_2roz_ghabl,hajm_3roz_ghabl,miangin_mah,code_gr,pool_gr,group_name,vaziat2,gh_s,darsad_ta_s,taharok,kharid_hoshdar,forosh_hoshdar,tedad_kharidar,seraneh_kharid,kol_kharid,tedad_foroshamdeh,seraneh_forosh,kol_forosh,barayand_saraneh,barayand_kol,emtiaz_sahm,date_now,time,total_kh_big,total_fo_big,total_kh_big1,total_fo_big1,net_big_trades,buy_sell_ratio_100,buy_sell_ratio_200,buy_sell_ratio_500,kh_concentration,fo_concentration,volume_signal,money_flow_signal,rsi_signal,total_signal_score,signal_category
11258722998911897,وسكاب,18,22,8,8,3,2,3840,2.95,2.68,صف خرید,0,0,78,1.6,-3993, حجم کم,47 %,51 % ,106 % ,89 % ,71094360,56,223642,سرمايه گذاريها,فروش  ضعیف,0,0,تحرک_مثبت,0,4,23,291,6713,36,221,7965,70,-1252,0.5,1405-06-04,12:30:29,18,22,8,8,-4,0.782608695652174,0.8888888888888888,1.0,2.1578947368421053,1.7391304347826086,0,0,-3,-0.5000000000000001,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
27000326841257664,سدشت,1,1,0,0,0,0,38450,1.13,1.08,مثبت,0,0,59,1.05,0, حجم کم,58 %,132 % ,59 % ,93 % ,468371,53,-4902,سيمان، آهك و گچ,خنثی,0,0,تحرک_مثبت,0,1,1,116,116,1,109,109,7,7,5.0,1405-06-04,10:40:32,1,1,0,0,0,0.5,0.0,0.0,0.5,0.5,0,0,-1,-0.1,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
37389789764168256,توريل,2,1,2,0,2,0,3373,2.99,2.99,صف خرید,0,0,79,42.07,1904, حجم کم,32 %,96 % ,168 % ,176 % ,23836234,60,116556,حمل ونقل، انبارداري و ارتباطات,فروش  متوسط rsi,0,0,تحرک_مثبت,0,2,2,740,1480,1,169,169,571,1311,2.0,1405-06-04,9:55:23,2,1,2,0,1,1.0,2.0,2.0,4.666666666666667,0.5,1,3,-3,0.7999999999999997,ﺪﯾﺮﺧ ﻒﯿﻌﺿ ﻝﺎﻨﮕﯿﺳ
39116664428676213,شلعاب,6,9,3,2,0,0,1304,2.68,2.13,مثبت,0,0,77,1.15,0, حجم کم,77 %,96 % ,177 % ,121 % ,53508893,44,416438,محصولات شيميايي,فروش  ضعیف,0,0,تحرک_مثبت,0,3,7,257,1800,9,144,1302,113,498,-4.0,1405-06-04,12:30:52,6,9,3,2,-3,0.6,1.0,0.0,1.2857142857142858,1.1,0,0,-3,-0.5000000000000001,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
67170215467608124,زنگان,1,1,1,1,0,0,7100,2.9,2.9,صف خرید,0,0,73,33.97,568, حجم کم,10 %,34 % ,93 % ,88 % ,12959033,27,512358,فلزات اساسي,فروش  متوسط rsi,0,0,تحرک_مثبت,1,1,1,213,213,1,202,202,11,11,2.0,1405-06-04,10:25:31,1,1,1,1,0,0.5,0.5,0.0,1.0,1.0,0,2,-3,0.0999999999999999,ﯽﺜﻨﺧ
59848307608894801,گپارس,2,3,0,1,0,0,223800,2.99,0.78,صف خرید,0,0,44,1.3,0,حجم زیاد2.38برابر,238 %,208 % ,68 % ,84 % ,18723,55,6675,هتل و رستوران,فروش  ضعیف,0,0,تحرک_مثبت,1,1,2,114,229,3,153,461,-39,-232,5.0,1405-06-04,12:29:42,2,3,0,1,-1,0.5,0.0,0.0,0.6666666666666666,1.0,0,0,1,0.30000000000000004,ﯽﺜﻨﺧ
47749661205825616,سيستم,13,4,3,1,1,0,51500,3.0,3.0,صف خرید,0,1,61,2.45,2354,حجم متوسط0.97برابر,97 %,92 % ,29 % ,74 % ,1152655,72,-31944,رايانه و فعاليت‌هاي وابسته به آن,خرید  قوی,0,0,تحرک_مثبت,1,3,20,224,4496,7,171,1203,53,3293,11.0,1405-06-04,12:27:06,13,4,3,1,9,2.6,1.5,1.0,1.5,1.0,3,3,-1,2.0,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ
42049553761321495,كورز,0,0,0,0,0,0,5170,2.99,2.99,صف خرید,0,0,54,0.83,0,حجم متوسط1.39برابر,139 %,108 % ,164 % ,157 % ,598260,54,58599,ساير محصولات كاني غيرفلزي,خنثی,0,0,تحرک_مثبت,0,2,0,0,0,0,0,0,0,0,4.0,1405-06-04,8:48:25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,ﯽﺜﻨﺧ
65018804181564924,گوهران,1,17,0,10,0,5,6360,-1.4,-2.48,منفی,0,0,69,0.28,-7435,حجم زیاد3.08برابر,308 %,263 % ,43 % ,99 % ,6498167,56,223642,سرمايه گذاريها,فروش  ضعیف,0,0,تحرک_مثبت,0,2,1,110,110,26,384,10006,-274,-9896,-0.5,1405-06-04,12:30:56,1,17,0,10,-16,0.05555555555555555,0.0,0.0,0.5,2.888888888888889,0,0,-1,-0.2,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
32257753560585502,كحافظ,10,4,5,1,0,0,2511,2.99,2.99,صف خرید,0,0,81,13.94,3525, حجم کم,15 %,19 % ,79 % ,225 % ,135185171,49,25165,كاشي و سراميك,فروش  قوی rsi,0,0,تحرک_مثبت,0,2,22,216,4754,4,164,659,52,4095,1.0,1405-06-04,12:15:13,10,4,5,1,6,2.0,2.5,0.0,1.3636363636363635,1.0,3,3,-3,1.6,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ
